#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2844A
#Date Time: 2025-03-31 17:22:28.854
#Sample rate: 400000Hz
#Samples: 4096

Time (s),Bus
-0.0051175,126
-0.005115,126
-0.0051125,126
-0.00511,126
-0.0051075,254
-0.005105,254
-0.0051025,254
-0.0051,254
-0.0050975,254
-0.005095,254
-0.0050925,254
-0.00509,254
-0.0050875,254
-0.005085,254
-0.0050825,254
-0.00508,254
-0.0050775,254
-0.005075,254
-0.0050725,254
-0.00507,254
-0.0050675,254
-0.005065,254
-0.0050625,254
-0.00506,254
-0.0050575,254
-0.005055,254
-0.0050525,254
-0.00505,254
-0.0050475,254
-0.005045,254
-0.0050425,254
-0.00504,254
-0.0050375,254
-0.005035,254
-0.0050325,254
-0.00503,254
-0.0050275,254
-0.005025,254
-0.0050225,254
-0.00502,254
-0.0050175,254
-0.005015,0
-0.0050125,0
-0.00501,0
-0.0050075,0
-0.005005,0
-0.0050025,0
-0.005,0
-0.0049975,0
-0.004995,0
-0.0049925,0
-0.00499,0
-0.0049875,0
-0.004985,0
-0.0049825,0
-0.00498,0
-0.0049775,0
-0.004975,0
-0.0049725,0
-0.00497,0
-0.0049675,0
-0.004965,0
-0.0049625,0
-0.00496,0
-0.0049575,0
-0.004955,0
-0.0049525,0
-0.00495,0
-0.0049475,0
-0.004945,0
-0.0049425,0
-0.00494,0
-0.0049375,0
-0.004935,0
-0.0049325,0
-0.00493,0
-0.0049275,0
-0.004925,0
-0.0049225,0
-0.00492,0
-0.0049175,0
-0.004915,0
-0.0049125,0
-0.00491,0
-0.0049075,0
-0.004905,0
-0.0049025,0
-0.0049,0
-0.0048975,0
-0.004895,0
-0.0048925,0
-0.00489,0
-0.0048875,0
-0.004885,0
-0.0048825,0
-0.00488,0
-0.0048775,0
-0.004875,0
-0.0048725,0
-0.00487,0
-0.0048675,0
-0.004865,0
-0.0048625,0
-0.00486,0
-0.0048575,0
-0.004855,0
-0.0048525,0
-0.00485,0
-0.0048475,0
-0.004845,0
-0.0048425,0
-0.00484,0
-0.0048375,0
-0.004835,0
-0.0048325,0
-0.00483,0
-0.0048275,0
-0.004825,0
-0.0048225,0
-0.00482,0
-0.0048175,0
-0.004815,0
-0.0048125,0
-0.00481,0
-0.0048075,0
-0.004805,0
-0.0048025,0
-0.0048,0
-0.0047975,0
-0.004795,0
-0.0047925,0
-0.00479,0
-0.0047875,0
-0.004785,0
-0.0047825,0
-0.00478,0
-0.0047775,0
-0.004775,0
-0.0047725,0
-0.00477,0
-0.0047675,0
-0.004765,0
-0.0047625,0
-0.00476,0
-0.0047575,0
-0.004755,0
-0.0047525,0
-0.00475,0
-0.0047475,0
-0.004745,0
-0.0047425,0
-0.00474,0
-0.0047375,0
-0.004735,0
-0.0047325,0
-0.00473,0
-0.0047275,0
-0.004725,0
-0.0047225,0
